commit_message,date,lines_added,author,week,year,year_week,commits_per_week
"DEP: Correct dtype in `__array_finalize__` if _set_dtype=None (#31293)

This avoids using the correct dtype in array_finalize unless _set_dtype = None is set on the class.
We also use this new path to make record arrays follow the main class deprecation correctly.

This means that recarray does live in the future.",2026-04-21 14:57:21+00:00,62,Sebastian Berg,17,2026,2026-17,3
DOC/TYP: remove outdated subsection on 0D arrays (#31288),2026-04-21 00:17:05+00:00,0,Joren Hammudoglu,17,2026,2026-17,3
"MAINT: Bump pyrefly from 0.60.1 to 0.61.0 in /requirements (#31289)

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",2026-04-21 00:15:53+00:00,1,dependabot[bot],17,2026,2026-17,2
"Merge pull request #31287 from numpy/dependabot/github_actions/actions/cache-5.0.5

MAINT: Bump actions/cache from 5.0.4 to 5.0.5",2026-04-20 21:14:47+00:00,4,Joren Hammudoglu,17,2026,2026-17,3
"MAINT: Bump actions/cache from 5.0.4 to 5.0.5

Bumps [actions/cache](https://github.com/actions/cache) from 5.0.4 to 5.0.5.
- [Release notes](https://github.com/actions/cache/releases)
- [Changelog](https://github.com/actions/cache/blob/main/RELEASES.md)
- [Commits](https://github.com/actions/cache/compare/668228422ae6a00e4ad889ee87cd7109ec5666a7...27d5ce7f107fe9357f9df03efb73ab90386fccae)

---
updated-dependencies:
- dependency-name: actions/cache
  dependency-version: 5.0.5
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",2026-04-20 20:13:54+00:00,4,dependabot[bot],17,2026,2026-17,2
DOC/TYP: Improved typing docs for ``ndarray`` (#31277),2026-04-20 14:57:20+00:00,18,Joren Hammudoglu,17,2026,2026-17,3
"BUG,DEP: Change logic for ``arr.view()`` to use ``_set_dtype`` (#31234)

This modifies the logic for `arr.view()` to:
1. Use `arr._set_dtype(new_dtype)` for subclasses to have a simple way to migrate away from 2.
2. Keep using `arr.dtype = new_dtype` if dtype is a setter property.
3. If neither is defined, we now call `__array_finalize__` with a new array that has the new dtype+shape. (Previously `__array_finalize__` was skipped, a subclass that wanted to know this happened had to implememt a `dtype` attribute setter).

The first two should be completely safe, with the only downside that we have to support `_set_dtype()` indefinitely :(.
(Maybe a NumPy 3 can switch over to just using step 3 always, but that would be a big transition).

OTOH, calling `__array_finalize__` with mismatching dtypes _could_ fail admitted.  I.e. `MaskedArrays` would fail for non-trivial cases (same itemsize, no structured dtypes) and even the trivial ones may give ""invalid value"" warnings due to the `_fill_value`.

However, this is also arguably a fix.  If a class dealt with it before correctly, it implemented `.dtype` attribute setting.  And if not and it stumbles on it, it was likely subtly broken around `dtype` handling with views.",2026-04-20 07:38:29+00:00,220,Sebastian Berg,17,2026,2026-17,3
"BUG: raise warning when `np.timedelta64()` is called (#31213)

Also raise a DeprecationWarning when following codes are called without specific unit:
    np.timedelta()
    np.datetime()
    np.datetime(""NaT"")

Co-authored-by: Sebastian Berg <sebastian@sipsolutions.net>",2026-04-20 07:32:10+00:00,129,riku-sakamoto,17,2026,2026-17,1
"ENH: Allow user-dtypes return views on `.conjugate()` (#31264)

This uses the fact that if something doesn't define an imag, then conjugate() should be defined as a simple view (similar to .real).

This is a follow-up of a previous PR, where I didn't implement this isn't really backportable.

With this, QuadDType for example does return a view (and a complex new-style dtype can opt out this).

This doesn't yet support for .conjugate() to return a view for complex numbers (which would make a lot of sense and could be added but take a bit more effort).

Co-authored-by: Swayam <hawkempire007@gmail.com>",2026-04-20 07:26:13+00:00,13,Sebastian Berg,17,2026,2026-17,3
BUG: Fix Stirling correction sign error in the BTPE algorithm (#31238),2026-04-17 19:58:08+00:00,259,Kate Hudson,16,2026,2026-16,1
Merge pull request #31268 from numpy/dependabot/pip/requirements/pyrefly-0.60.1,2026-04-17 19:36:15+00:00,1,Joren Hammudoglu,16,2026,2026-16,6
Merge pull request #31267 from numpy/dependabot/github_actions/actions/upload-artifact-7.0.1,2026-04-17 19:05:18+00:00,6,Joren Hammudoglu,16,2026,2026-16,6
Merge pull request #31266 from numpy/dependabot/github_actions/int128/hide-comment-action-1.55.0,2026-04-17 19:05:10+00:00,1,Joren Hammudoglu,16,2026,2026-16,6
"MAINT: Bump pyrefly from 0.60.0 to 0.60.1 in /requirements

Bumps [pyrefly](https://github.com/facebook/pyrefly) from 0.60.0 to 0.60.1.
- [Release notes](https://github.com/facebook/pyrefly/releases)
- [Commits](https://github.com/facebook/pyrefly/compare/0.60.0...0.60.1)

---
updated-dependencies:
- dependency-name: pyrefly
  dependency-version: 0.60.1
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",2026-04-17 17:58:35+00:00,1,dependabot[bot],16,2026,2026-16,5
